gen,best_fit,median_fit,avg_reset,avg_crash,avg_over,avg_cte,avg_off,sigma,elapsed_s
0,36.96,44.47,0.4,0.92,0.235,0.596,0.037,0.08,3732
1,42.46,47.77,0.2,1.17,0.351,0.584,0.038,0.08,7465
2,36.33,50.65,0.6,1.06,0.292,0.621,0.035,0.08,11197
3,46.16,51.32,0.7,1.25,0.414,0.666,0.041,0.08,14929
4,35.52,51.96,0.5,1.39,0.582,0.739,0.048,0.08,3732
5,35.04,48.81,0.5,0.71,0.457,0.623,0.043,0.08,7464
6,36.74,58.08,1.1,1.12,0.397,0.622,0.04,0.08,3733
7,36.13,48.89,0.3,0.89,0.207,0.507,0.03,0.08,7466
8,37.19,53.47,0.8,1.21,0.49,0.637,0.042,0.08,11199
9,36.8,47.07,0.1,0.99,0.278,0.571,0.031,0.08,14931
10,40.42,47.11,0.5,1.35,0.469,0.653,0.052,0.08,18664
11,36.86,50.0,0.3,1.16,0.267,0.492,0.033,0.08,22398
12,35.8,44.7,0.1,0.82,0.279,0.487,0.031,0.08,26131
13,35.63,41.57,0.2,0.65,0.137,0.445,0.029,0.08,29864
14,34.36,39.23,0.2,0.83,0.25,0.486,0.028,0.08,33597
15,38.05,50.1,0.4,0.63,0.332,0.557,0.025,0.08,37330
